"Operador","Año","Mes","Servicio","Categoría","Bloque","Tipo Conexión","Servicios Autorizados","Conexiones","Unidades","Consumo","Importe","Importe Cargo Fijo"
"AyA","2020","Diciembre","Hidrantes","Domiciliar","0-15","Medido","","385378","449880","3330023","88443911",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","16-25","Medido","","145408","159472","3165596","82260263",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","26-40","Medido","","57214","62087","1929764","50295652",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","41-60","Medido","","11800","12477","597988","15555204",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","61-80","Medido","","2160","2339","164242","4276597",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","81-100","Medido","","698","722","66317","1690773",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","101-120","Medido","","313","344","38562","1025969",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","121 y mas","Medido","","610","625","339626","8773184",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar"," ","Fijo","","8647","9468","","5246737",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","0-15","Medido","","40894","40903","170352","4488834",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","16-25","Medido","","5444","5445","109563","2847603",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","26-40","Medido","","3714","3714","120345","3128910",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","41-60","Medido","","2069","2069","103186","2672454",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","61-80","Medido","","1024","1024","71923","1880290",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","81-100","Medido","","593","593","54201","1409311",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","101-120","Medido","","402","402","45274","1177124",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","121 y mas","Medido","","1665","1665","716417","18626559",""
"AyA","2020","Diciembre","Hidrantes","Empresarial"," ","Fijo","","426","426","","236735",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","0-15","Medido","","3708","3708","14373","400091",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","16-25","Medido","","592","592","11985","311142",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","26-40","Medido","","534","534","17425","453050",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","41-60","Medido","","291","291","14394","374244",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","61-80","Medido","","184","184","13106","340756",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","81-100","Medido","","116","116","10602","275652",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","101-120","Medido","","91","91","10084","262184",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","121 y mas","Medido","","408","408","211727","5504902",""
"AyA","2020","Diciembre","Hidrantes","Preferencial"," ","Fijo","","103","103","","56856",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","0-15","Medido","","958","958","4181","112646",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","16-25","Medido","","184","184","3782","100464",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","26-40","Medido","","184","184","5967","152724",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","41-60","Medido","","132","132","6497","171340",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","61-80","Medido","","93","93","6644","172744",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","81-100","Medido","","64","64","5665","147290",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","101-120","Medido","","42","42","4593","119418",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","121 y mas","Medido","","309","309","223623","5814198",""
"AyA","2020","Diciembre","Hidrantes","Gobierno"," ","Fijo","","23","23","","12696",""
"AyA","2020","Diciembre","Hidrantes","Venta de Agua en Bloque","0-15","Medido","","6","6","","",""
"AyA","2020","Diciembre","Hidrantes","Venta de Agua en Bloque","121 y mas","Medido","","5","5","50560","",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","0-15","Medido","","385378","449880","3330023","10170749",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","16-25","Medido","","145408","159472","3165596","11051803",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","26-40","Medido","","57214","62087","1929764","8171454",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","41-60","Medido","","11800","12477","597988","3021863",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","61-80","Medido","","2160","2339","164242","1027315",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","81-100","Medido","","698","722","66317","493303",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","101-120","Medido","","313","344","38562","330971",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","121 y mas","Medido","","610","625","339626","4044473",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar"," ","Fijo","","8647","9468","","722342",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial","0-15","Medido","","40894","40903","170352","1754865",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial","16-25","Medido","","5444","5445","109563","1163800",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial","26-40","Medido","","3714","3714","120345","1358613",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial","41-60","Medido","","2069","2069","103186","1182042",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial","61-80","Medido","","1024","1024","71923","847971",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial","81-100","Medido","","593","593","54201","638838",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial","101-120","Medido","","402","402","45274","527867",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial","121 y mas","Medido","","1665","1665","716417","8957324",""
"AyA","2020","Diciembre","Tarifa Hidrica","Empresarial"," ","Fijo","","426","426","","100207",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial","0-15","Medido","","3708","3708","14373","62458",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial","16-25","Medido","","592","592","11985","49175",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial","26-40","Medido","","534","534","17425","80218",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial","41-60","Medido","","291","291","14394","72757",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial","61-80","Medido","","184","184","13106","64578",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial","81-100","Medido","","116","116","10602","55853",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial","101-120","Medido","","91","91","10084","59532",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial","121 y mas","Medido","","408","408","211727","1185041",""
"AyA","2020","Diciembre","Tarifa Hidrica","Preferencial"," ","Fijo","","103","103","","21424",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno","0-15","Medido","","958","958","4181","96041",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno","16-25","Medido","","184","184","3782","72516",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno","26-40","Medido","","184","184","5967","94104",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno","41-60","Medido","","132","132","6497","102302",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno","61-80","Medido","","93","93","6644","111796",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno","81-100","Medido","","64","64","5665","92315",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno","101-120","Medido","","42","42","4593","85674",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno","121 y mas","Medido","","309","309","223623","2632859",""
"AyA","2020","Diciembre","Tarifa Hidrica","Gobierno"," ","Fijo","","23","23","","20171",""
"AyA","2020","Diciembre","Tarifa Hidrica","Venta de Agua en Bloque","0-15","Medido","","6","6","","",""
"AyA","2020","Diciembre","Tarifa Hidrica","Venta de Agua en Bloque","121 y mas","Medido","","5","5","50560","",""
"AyA","2020","Diciembre","Acueducto","Domiciliar","0-15","Medido","","385378","449880","3330023","1369178763","895369900.98"
"AyA","2020","Diciembre","Acueducto","Domiciliar","16-25","Medido","","145408","159472","3165596","1606549198","372412389.49"
"AyA","2020","Diciembre","Acueducto","Domiciliar","26-40","Medido","","57214","62087","1929764","1228495366","124886547.84"
"AyA","2020","Diciembre","Acueducto","Domiciliar","41-60","Medido","","11800","12477","597988","451484445","25097193.57"
"AyA","2020","Diciembre","Acueducto","Domiciliar","61-80","Medido","","2160","2339","164242","157529384","4704843.77"
"AyA","2020","Diciembre","Acueducto","Domiciliar","81-100","Medido","","698","722","66317","79176945","1452286.11"
"AyA","2020","Diciembre","Acueducto","Domiciliar","101-120","Medido","","313","344","38562","51289143","691947.95"
"AyA","2020","Diciembre","Acueducto","Domiciliar","121 y mas","Medido","","610","625","339626","648896684","1257172.88"
"AyA","2020","Diciembre","Acueducto","Domiciliar"," ","Fijo","","8647","9468","","38656571","4280000"
"AyA","2020","Diciembre","Acueducto","Empresarial","0-15","Medido","","40894","40903","170352","275988861","83609660.71"
"AyA","2020","Diciembre","Acueducto","Empresarial","16-25","Medido","","5444","5445","109563","186684653","11130102.99"
"AyA","2020","Diciembre","Acueducto","Empresarial","26-40","Medido","","3714","3714","120345","216452956","7591772.73"
"AyA","2020","Diciembre","Acueducto","Empresarial","41-60","Medido","","2069","2069","103186","191713519","4229234.73"
"AyA","2020","Diciembre","Acueducto","Empresarial","61-80","Medido","","1024","1024","71923","135704826","2093154.35"
"AyA","2020","Diciembre","Acueducto","Empresarial","81-100","Medido","","593","593","54201","103349723","1212148.96"
"AyA","2020","Diciembre","Acueducto","Empresarial","101-120","Medido","","402","402","45274","86767559","821726.61"
"AyA","2020","Diciembre","Acueducto","Empresarial","121 y mas","Medido","","1665","1665","716417","1449085154","3403419.92"
"AyA","2020","Diciembre","Acueducto","Empresarial"," ","Fijo","","426","426","","2777552","106000"
"AyA","2020","Diciembre","Acueducto","Preferencial","0-15","Medido","","3708","3708","14373","5974278","7408943.91"
"AyA","2020","Diciembre","Acueducto","Preferencial","16-25","Medido","","592","592","11985","6157385","1182873.46"
"AyA","2020","Diciembre","Acueducto","Preferencial","26-40","Medido","","534","534","17425","10982100","1066983.83"
"AyA","2020","Diciembre","Acueducto","Preferencial","41-60","Medido","","291","291","14394","10023008","581446.25"
"AyA","2020","Diciembre","Acueducto","Preferencial","61-80","Medido","","184","184","13106","9868471","367649.86"
"AyA","2020","Diciembre","Acueducto","Preferencial","81-100","Medido","","116","116","10602","8278429","231779.26"
"AyA","2020","Diciembre","Acueducto","Preferencial","101-120","Medido","","91","91","10084","8095223","181826.83"
"AyA","2020","Diciembre","Acueducto","Preferencial","121 y mas","Medido","","408","408","211727","186369329","815223.6"
"AyA","2020","Diciembre","Acueducto","Preferencial"," ","Fijo","","103","103","","794105","38000"
"AyA","2020","Diciembre","Acueducto","Gobierno","0-15","Medido","","958","958","4181","6771000","1918923.7"
"AyA","2020","Diciembre","Acueducto","Gobierno","16-25","Medido","","184","184","3782","6478408","368561.55"
"AyA","2020","Diciembre","Acueducto","Gobierno","26-40","Medido","","184","184","5967","10759428","368561.55"
"AyA","2020","Diciembre","Acueducto","Gobierno","41-60","Medido","","132","132","6497","12073828","264402.85"
"AyA","2020","Diciembre","Acueducto","Gobierno","61-80","Medido","","93","93","6644","12558616","186283.83"
"AyA","2020","Diciembre","Acueducto","Gobierno","81-100","Medido","","64","64","5665","10795820","128195.32"
"AyA","2020","Diciembre","Acueducto","Gobierno","101-120","Medido","","42","42","4593","8803932","84128.18"
"AyA","2020","Diciembre","Acueducto","Gobierno","121 y mas","Medido","","309","309","223623","455920314","618943.03"
"AyA","2020","Diciembre","Acueducto","Gobierno"," ","Fijo","","23","23","","46000","46000"
"AyA","2020","Diciembre","Acueducto","Venta de Agua en Bloque","0-15","Medido","","6","6","","",""
"AyA","2020","Diciembre","Acueducto","Venta de Agua en Bloque","121 y mas","Medido","","5","5","50560","4803200",""
"ESPH","2020","Diciembre","Acueducto","Domiciliar","0-15","Medido","","34253","34253","292418","92988530.45","156571882.84"
"ESPH","2020","Diciembre","Acueducto","Domiciliar","16-25","Medido","","19528","19528","388957","144046429.94","89263297.47"
"ESPH","2020","Diciembre","Acueducto","Domiciliar","26-40","Medido","","10139","10139","317366","135960705.83","46345789.28"
"ESPH","2020","Diciembre","Acueducto","Domiciliar","41-60","Medido","","2765","2765","132298","64774680.08","12638929.61"
"ESPH","2020","Diciembre","Acueducto","Domiciliar","61-80","Medido","","589","589","40431","25180309.8","2692343.41"
"ESPH","2020","Diciembre","Acueducto","Domiciliar","81-100","Medido","","154","154","13685","10528949.52","703940.38"
"ESPH","2020","Diciembre","Acueducto","Domiciliar","101-120","Medido","","57","57","6251","5399443.62","260549.36"
"ESPH","2020","Diciembre","Acueducto","Domiciliar","121 y mas","Medido","","104","104","41664","25830922.64","475388.31"
"ESPH","2020","Diciembre","Acueducto","Domiciliar"," ","Fijo","","60","60","","591851.54","72000"
"ESPH","2020","Diciembre","Acueducto","Empresarial","0-15","Medido","","4365","4365","17928","13643122.92","9924108.49"
"ESPH","2020","Diciembre","Acueducto","Empresarial","16-25","Medido","","626","626","12539","11135491.52","1423251.3"
"ESPH","2020","Diciembre","Acueducto","Empresarial","26-40","Medido","","433","433","13703","14075135.36","984453.37"
"ESPH","2020","Diciembre","Acueducto","Empresarial","41-60","Medido","","247","247","12147","13515418.72","561570.4"
"ESPH","2020","Diciembre","Acueducto","Empresarial","61-80","Medido","","117","117","8183","9479765.72","266007.03"
"ESPH","2020","Diciembre","Acueducto","Empresarial","81-100","Medido","","56","56","4977","5880783.5","127319.6"
"ESPH","2020","Diciembre","Acueducto","Empresarial","101-120","Medido","","45","45","4972","5957936.95","102310.4"
"ESPH","2020","Diciembre","Acueducto","Empresarial","121 y mas","Medido","","220","220","150507","196965218.16","500184.16"
"ESPH","2020","Diciembre","Acueducto","Empresarial"," ","Fijo","","3","3","","61781.85","3600"
"ESPH","2020","Diciembre","Acueducto","Preferencial ","0-15","Medido","","268","268","1023","325307.72","860329.4"
"ESPH","2020","Diciembre","Acueducto","Preferencial ","16-25","Medido","","40","40","801","297328.35","128407.37"
"ESPH","2020","Diciembre","Acueducto","Preferencial ","26-40","Medido","","33","33","1040","457436.31","105936.08"
"ESPH","2020","Diciembre","Acueducto","Preferencial ","41-60","Medido","","21","21","1020","499554.02","67413.87"
"ESPH","2020","Diciembre","Acueducto","Preferencial ","61-80","Medido","","14","14","961","502990.65","44942.58"
"ESPH","2020","Diciembre","Acueducto","Preferencial ","81-100","Medido","","5","5","432","236018.63","16050.92"
"ESPH","2020","Diciembre","Acueducto","Preferencial ","101-120","Medido","","6","6","639","359802.68","19261.11"
"ESPH","2020","Diciembre","Acueducto","Preferencial ","121 y mas","Medido","","33","33","18783","11674412.04","105936.08"
"ESPH","2020","Diciembre","Acueducto","Preferencial "," ","Fijo","","","","","",""
"ESPH","2020","Diciembre","Acueducto","Gobierno","0-15","Medido","","116","116","409","311245.44","257966.97"
"ESPH","2020","Diciembre","Acueducto","Gobierno","16-25","Medido","","19","19","358","309374.62","42253.21"
"ESPH","2020","Diciembre","Acueducto","Gobierno","26-40","Medido","","13","13","391","396724.28","28910.09"
"ESPH","2020","Diciembre","Acueducto","Gobierno","41-60","Medido","","13","13","649","723607.32","28910.09"
"ESPH","2020","Diciembre","Acueducto","Gobierno","61-80","Medido","","9","9","653","759035.87","20014.68"
"ESPH","2020","Diciembre","Acueducto","Gobierno","81-100","Medido","","6","6","543","642436.24","13343.12"
"ESPH","2020","Diciembre","Acueducto","Gobierno","101-120","Medido","","4","4","454","544853.76","8895.41"
"ESPH","2020","Diciembre","Acueducto","Gobierno","121 y mas","Medido","","22","22","20635","27129226.79","48924.77"
"ESPH","2020","Diciembre","Acueducto","Gobierno"," ","Fijo","","1","1","","20593.95","1200"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar","0-15","Medido","","10894","10894","93078","19918243.56","6617372.43"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar","16-25","Medido","","5670","5670","112290","27897678.23","3444143.72"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar","26-40","Medido","","2507","2507","77685","22839920.11","1522833.92"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar","41-60","Medido","","515","515","24313","8226077.05","312827.87"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar","61-80","Medido","","83","83","5659","2324480.57","50416.92"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar","81-100","Medido","","13","13","1133","548322.23","7896.63"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar","101-120","Medido","","7","7","789","428905.41","4252.03"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar","121 y mas","Medido","","14","14","4567","1753564.75","8504.06"
"ESPH","2020","Diciembre","Alcantarillado","Domiciliar"," ","Fijo","","304","304","304","1947408.54","201618"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial","0-15","Medido","","2601","2601","10445","4679293.77","1606660.96"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial","16-25","Medido","","309","309","6174","3226088.28","190872.06"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial","26-40","Medido","","209","209","6593","3987572.56","129101.17"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial","41-60","Medido","","112","112","5421","3541977","69183.4"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial","61-80","Medido","","56","56","3876","2644194.08","34591.7"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial","81-100","Medido","","21","21","1829","1272069.6","12971.89"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial","101-120","Medido","","18","18","2014","1423719.36","11118.76"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial","121 y mas","Medido","","96","96","77480","59821505.5","59300.06"
"ESPH","2020","Diciembre","Alcantarillado","Empresarial"," ","Fijo","","9","9","9","85725","5400"
"ESPH","2020","Diciembre","Alcantarillado","Preferencial","0-15","Medido","","107","107","384","82176","64200"
"ESPH","2020","Diciembre","Alcantarillado","Preferencial","16-25","Medido","","15","15","312","79121.4","9000"
"ESPH","2020","Diciembre","Alcantarillado","Preferencial","26-40","Medido","","15","15","477","141430.8","9000"
"ESPH","2020","Diciembre","Alcantarillado","Preferencial","41-60","Medido","","10","10","483","158801.8","6000"
"ESPH","2020","Diciembre","Alcantarillado","Preferencial","61-80","Medido","","5","5","355","125759.15","3000"
"ESPH","2020","Diciembre","Alcantarillado","Preferencial","81-100","Medido","","2","2","168","61405.56","1200"
"ESPH","2020","Diciembre","Alcantarillado","Preferencial","101-120","Medido","","","","","",""
"ESPH","2020","Diciembre","Alcantarillado","Preferencial","121 y mas","Medido","","8","8","3168","1311413.44","4800"
"ESPH","2020","Diciembre","Alcantarillado","Preferencial"," ","Fijo","","","","","",""
"ESPH","2020","Diciembre","Alcantarillado","Gobierno","0-15","Medido","","68","68","227","101696","40800"
"ESPH","2020","Diciembre","Alcantarillado","Gobierno","16-25","Medido","","10","10","188","95585.2","6000"
"ESPH","2020","Diciembre","Alcantarillado","Gobierno","26-40","Medido","","7","7","208","123979.88","4200"
"ESPH","2020","Diciembre","Alcantarillado","Gobierno","41-60","Medido","","4","4","191","124736.04","2400"
"ESPH","2020","Diciembre","Alcantarillado","Gobierno","61-80","Medido","","5","5","373","256204.4","3000"
"ESPH","2020","Diciembre","Alcantarillado","Gobierno","81-100","Medido","","3","3","268","186739.8","1800"
"ESPH","2020","Diciembre","Alcantarillado","Gobierno","101-120","Medido","","4","4","454","321196.08","2400"
"ESPH","2020","Diciembre","Alcantarillado","Gobierno","121 y mas","Medido","","15","15","12865","9941211.6","9000"
"ESPH","2020","Diciembre","Alcantarillado","Gobierno"," ","Fijo","","","","","",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar","0-15","Medido","","34253","34253","292418","7547310.08",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar","16-25","Medido","","19528","19528","388957","10038980.1",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar","26-40","Medido","","10139","10139","317366","8191216.46",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar","41-60","Medido","","2765","2765","132298","3414611.7",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar","61-80","Medido","","589","589","40431","1043524.11",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar","81-100","Medido","","154","154","13685","353209.85",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar","101-120","Medido","","57","57","6251","161338.31",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar","121 y mas","Medido","","104","104","41664","1075337.06",""
"ESPH","2020","Diciembre","Hidrantes","Domiciliar"," ","Fijo","","60","60","","37069.8",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial","0-15","Medido","","4365","4365","17928","462722.22",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial","16-25","Medido","","626","626","12539","323631.59",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial","26-40","Medido","","433","433","13703","353674.43",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial","41-60","Medido","","247","247","12147","313514.07",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial","61-80","Medido","","117","117","8183","211203.23",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial","81-100","Medido","","56","56","4977","128456.37",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial","101-120","Medido","","45","45","4972","128327.32",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial","121 y mas","Medido","","220","220","150507","3884585.67",""
"ESPH","2020","Diciembre","Hidrantes","Empresarial"," ","Fijo","","3","3","","1853.49",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial","0-15","Medido","","268","268","1023","26403.63",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial","16-25","Medido","","40","40","801","20673.81",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial","26-40","Medido","","33","33","1040","26842.4",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial","41-60","Medido","","21","21","1020","26326.2",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial","61-80","Medido","","14","14","961","24803.41",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial","81-100","Medido","","5","5","432","11149.92",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial","101-120","Medido","","6","6","639","16492.59",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial","121 y mas","Medido","","33","33","18783","484789.23",""
"ESPH","2020","Diciembre","Hidrantes","Preferencial"," ","Fijo","","","","","",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno","0-15","Medido","","116","116","409","10556.29",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno","16-25","Medido","","19","19","358","9239.98",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno","26-40","Medido","","13","13","391","10091.71",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno","41-60","Medido","","13","13","649","16750.69",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno","61-80","Medido","","9","9","653","16853.93",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno","81-100","Medido","","6","6","543","14014.83",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno","101-120","Medido","","4","4","454","11717.74",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno","121 y mas","Medido","","22","22","20635","532589.35",""
"ESPH","2020","Diciembre","Hidrantes","Gobierno"," ","Fijo","","1","1","","617.83",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar","0-15","Medido","","34253","34253","292418","4386270.74",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar","16-25","Medido","","19528","19528","388957","5834355.34",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar","26-40","Medido","","10139","10139","317366","4760490.28",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar","41-60","Medido","","2765","2765","132298","1984470",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar","61-80","Medido","","589","589","40431","606465",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar","81-100","Medido","","154","154","13685","205275",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar","101-120","Medido","","57","57","6251","93765",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar","121 y mas","Medido","","104","104","41664","624951.76",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Domiciliar"," ","Fijo","","60","60","","23100",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial","0-15","Medido","","4365","4365","17928","268920.35",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial","16-25","Medido","","626","626","12539","188085",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial","26-40","Medido","","433","433","13703","205545",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial","41-60","Medido","","247","247","12147","182205",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial","61-80","Medido","","117","117","8183","122745",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial","81-100","Medido","","56","56","4977","74655",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial","101-120","Medido","","45","45","4972","74580",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial","121 y mas","Medido","","220","220","150507","2257605",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Empresarial"," ","Fijo","","3","3","","1155",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial","0-15","Medido","","268","268","1023","15345",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial","16-25","Medido","","40","40","801","12015",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial","26-40","Medido","","33","33","1040","15600",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial","41-60","Medido","","21","21","1020","15300",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial","61-80","Medido","","14","14","961","14415",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial","81-100","Medido","","5","5","432","6480",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial","101-120","Medido","","6","6","639","9585",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial","121 y mas","Medido","","33","33","18783","281745",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Preferencial"," ","Fijo","","","","","",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno","0-15","Medido","","116","116","409","6135",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno","16-25","Medido","","19","19","358","5370",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno","26-40","Medido","","13","13","391","5865",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno","41-60","Medido","","13","13","649","9735",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno","61-80","Medido","","9","9","653","9795",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno","81-100","Medido","","6","6","543","8145",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno","101-120","Medido","","4","4","454","6810",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno","121 y mas","Medido","","22","22","20635","309525",""
"ESPH","2020","Diciembre","Tarifa Hidrica","Gobierno"," ","Fijo","","1","1","","385",""
"AyA","2020","Diciembre","Alcantarillado","Domiciliar","0-15","Medido","","133678","162948","1185804","463228294","197329673.39"
"AyA","2020","Diciembre","Alcantarillado","Domiciliar","16-25","Medido","","43221","47526","930807","447345446","57553882.57"
"AyA","2020","Diciembre","Alcantarillado","Domiciliar","26-40","Medido","","13852","14378","443611","267096220","17411726.71"
"AyA","2020","Diciembre","Alcantarillado","Domiciliar","41-60","Medido","","2173","2213","105725","75623511","2679938.18"
