"Operador","Año","Mes","Servicio","Categoría","Bloque","Tipo Conexión","Servicios Autorizados","Conexiones","Unidades","Consumo","Importe","Importe Cargo Fijo"
"ESPH","2020","Setiembre","Hidrantes","Gobierno","0-15","Medido","","122","122","428","11046.68",""
"ESPH","2020","Setiembre","Hidrantes","Gobierno","16-25","Medido","","10","10","203","5239.43",""
"ESPH","2020","Setiembre","Hidrantes","Gobierno","26-40","Medido","","18","18","577","14892.37",""
"ESPH","2020","Setiembre","Hidrantes","Gobierno","41-60","Medido","","11","11","551","14221.31",""
"ESPH","2020","Setiembre","Hidrantes","Gobierno","61-80","Medido","","10","10","668","17241.08",""
"ESPH","2020","Setiembre","Hidrantes","Gobierno","81-100","Medido","","2","2","170","4387.7",""
"ESPH","2020","Setiembre","Hidrantes","Gobierno","101-120","Medido","","2","2","223","5755.63",""
"ESPH","2020","Setiembre","Hidrantes","Gobierno","121 y mas","Medido","","28","28","13060","337078.6",""
"ESPH","2020","Setiembre","Hidrantes","Gobierno"," ","Fijo","","1","1","","617.83",""
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar","0-15","Medido","","10620","10620","90223","19307724.44","6450217.4"
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar","16-25","Medido","","5736","5736","113831","28303706.2","3483846.24"
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar","26-40","Medido","","2646","2646","81932","24082052.72","1607088.06"
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar","41-60","Medido","","536","536","25344","8577146.85","325547.7"
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar","61-80","Medido","","71","71","4794","1953428.09","43122.92"
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar","81-100","Medido","","13","13","1137","551310.23","7895.75"
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar","101-120","Medido","","7","7","766","411724.41","4251.56"
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar","121 y mas","Medido","","13","13","3744","1490853.14","7895.75"
"ESPH","2020","Setiembre","Alcantarillado","Domiciliar"," ","Fijo","","304","304","304","1947408.3","201618"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial","0-15","Medido","","2649","2649","9912","4440576.44","1637974.81"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial","16-25","Medido","","306","306","6100","3184265.52","189211.13"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial","26-40","Medido","","172","172","5480","3319471.31","106353.97"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial","41-60","Medido","","112","112","5535","3632298.12","69253.75"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial","61-80","Medido","","35","35","2443","1667934.8","21641.8"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial","81-100","Medido","","27","27","2430","1694104.2","16695.1"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial","101-120","Medido","","12","12","1377","974793.24","7420.04"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial","121 y mas","Medido","","90","90","60911","46900811.89","55650.33"
"ESPH","2020","Setiembre","Alcantarillado","Empresarial"," ","Fijo","","9","9","9","85725","5400"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial","0-15","Medido","","118","118","328","70192","70800"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial","16-25","Medido","","15","15","296","73425.4","9000"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial","26-40","Medido","","9","9","277","81261.28","5400"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial","41-60","Medido","","8","8","408","135487.04","4800"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial","61-80","Medido","","2","2","131","45606.66","1200"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial","81-100","Medido","","2","2","169","61832.56","1200"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial","101-120","Medido","","2","2","217","82328.46","1200"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial","121 y mas","Medido","","7","7","2849","1180365.76","4200"
"ESPH","2020","Setiembre","Alcantarillado","Preferencial"," ","Fijo","","","","","",""
"ESPH","2020","Setiembre","Alcantarillado","Gobierno","0-15","Medido","","72","72","234","104832","43200"
"ESPH","2020","Setiembre","Alcantarillado","Gobierno","16-25","Medido","","5","5","102","53768.6","3000"
"ESPH","2020","Setiembre","Alcantarillado","Gobierno","26-40","Medido","","8","8","249","150121.72","4800"
"ESPH","2020","Setiembre","Alcantarillado","Gobierno","41-60","Medido","","5","5","253","166564.8","3000"
"ESPH","2020","Setiembre","Alcantarillado","Gobierno","61-80","Medido","","3","3","219","150137.04","1800"
"ESPH","2020","Setiembre","Alcantarillado","Gobierno","81-100","Medido","","1","1","89","61997.6","600"
"ESPH","2020","Setiembre","Alcantarillado","Gobierno","101-120","Medido","","1","1","111","78431.52","600"
"ESPH","2020","Setiembre","Alcantarillado","Gobierno","121 y mas","Medido","","21","21","5882","4420689.24","12600"
"ESPH","2020","Setiembre","Alcantarillado","Gobierno"," ","Fijo","","","","","",""
"ESPH","2020","Setiembre","Acueducto","Domiciliar","0-15","Medido","","33326","33326","283551","90169033.08","43775728.51"
"ESPH","2020","Setiembre","Acueducto","Domiciliar","16-25","Medido","","19548","19548","389577","144312054.47","25677487.27"
"ESPH","2020","Setiembre","Acueducto","Domiciliar","26-40","Medido","","10578","10578","330564","141559577.11","13894846.55"
"ESPH","2020","Setiembre","Acueducto","Domiciliar","41-60","Medido","","2930","2930","140541","68879992.35","3848733.26"
"ESPH","2020","Setiembre","Acueducto","Domiciliar","61-80","Medido","","590","590","40213","24859889.25","775000.89"
"ESPH","2020","Setiembre","Acueducto","Domiciliar","81-100","Medido","","168","168","14890","11400155.69","220678.22"
"ESPH","2020","Setiembre","Acueducto","Domiciliar","101-120","Medido","","64","64","6951","5976799.71","84067.89"
"ESPH","2020","Setiembre","Acueducto","Domiciliar","121 y mas","Medido","","115","115","42028","29278097.08","151059.5"
"ESPH","2020","Setiembre","Acueducto","Domiciliar"," ","Fijo","","63","63","","621443.31","75600"
"ESPH","2020","Setiembre","Acueducto","Empresarial","0-15","Medido","","4514","4514","18021","13713914.32","5686987.42"
"ESPH","2020","Setiembre","Acueducto","Empresarial","16-25","Medido","","568","568","11395","10126276.5","715597.89"
